plannerId,checkDate,processDate,periodStartDate,periodEndDate,payGroup,runType
131a60b2-d00e-0000-0000-0000fb700200,2025-04-04T00:00:00,2025-04-02T12:00:00,2025-03-24T00:00:00,2025-03-30T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
87b447c7-4e22-0000-0000-0000fb700200,2025-04-11T00:00:00,2025-04-09T12:00:00,2025-03-31T00:00:00,2025-04-06T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
8f45021e-f869-0000-0000-0000fb700200,2025-04-15T00:00:00,2025-04-11T00:00:00,2025-04-01T00:00:00,2025-04-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
e78c13ed-7a0f-0000-0000-0000fb700200,2025-04-18T00:00:00,2025-04-16T12:00:00,2025-04-07T00:00:00,2025-04-13T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
39e7c3c2-645e-0000-0000-0000fb700200,2025-04-25T00:00:00,2025-04-23T12:00:00,2025-04-14T00:00:00,2025-04-20T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
36871cf3-0615-0000-0000-0000fb700200,2025-04-30T00:00:00,2025-04-28T00:00:00,2025-04-16T00:00:00,2025-04-30T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
c718d61c-d073-0000-0000-0000fb700200,2025-05-02T00:00:00,2025-04-30T12:00:00,2025-04-21T00:00:00,2025-04-27T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
30e55b3d-df00-0000-0000-0000fb700200,2025-05-09T00:00:00,2025-05-07T12:00:00,2025-04-28T00:00:00,2025-05-04T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
4b162916-f839-0000-0000-0000fb700200,2025-05-15T00:00:00,2025-05-13T00:00:00,2025-05-01T00:00:00,2025-05-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
65abd35c-c2f1-0000-0000-0000fb700200,2025-05-16T00:00:00,2025-05-14T12:00:00,2025-05-05T00:00:00,2025-05-11T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
19db4249-1cca-0000-0000-0000fb700200,2025-05-23T00:00:00,2025-05-21T12:00:00,2025-05-12T00:00:00,2025-05-18T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
5ad9d61e-5749-0000-0000-0000fb700200,2025-05-30T00:00:00,2025-05-28T12:00:00,2025-05-19T00:00:00,2025-05-25T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
040eb63f-d3b5-0000-0000-0000fb700200,2025-05-30T00:00:00,2025-05-28T00:00:00,2025-05-16T00:00:00,2025-05-31T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
e7305791-81e1-0000-0000-0000fb700200,2025-06-06T00:00:00,2025-06-04T12:00:00,2025-05-26T00:00:00,2025-06-01T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
3bb6378b-447c-0000-0000-0000fb700200,2025-06-13T00:00:00,2025-06-11T12:00:00,2025-06-02T00:00:00,2025-06-08T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
af628c68-fdd5-0000-0000-0000fb700200,2025-06-13T00:00:00,2025-06-11T00:00:00,2025-06-01T00:00:00,2025-06-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
b9d049bd-57d2-0000-0000-0000fb700200,2025-06-20T00:00:00,2025-06-17T12:00:00,2025-06-09T00:00:00,2025-06-15T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
e15262cd-d864-0000-0000-0000fb700200,2025-06-27T00:00:00,2025-06-25T12:00:00,2025-06-16T00:00:00,2025-06-22T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
afc45a4e-36a1-0000-0000-0000fb700200,2025-06-30T00:00:00,2025-06-26T00:00:00,2025-06-16T00:00:00,2025-06-30T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
e4fa205c-8528-0000-0000-0000fb700200,2025-07-03T00:00:00,2025-07-01T12:00:00,2025-06-23T00:00:00,2025-06-29T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
92d2b43d-a97d-0000-0000-0000fb700200,2025-07-11T00:00:00,2025-07-09T12:00:00,2025-06-30T00:00:00,2025-07-06T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
c4b9a4ad-d438-0000-0000-0000fb700200,2025-07-15T00:00:00,2025-07-11T00:00:00,2025-07-01T00:00:00,2025-07-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
058b49aa-f0b0-0000-0000-0000fb700200,2025-07-18T00:00:00,2025-07-16T12:00:00,2025-07-07T00:00:00,2025-07-13T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
cb75fe11-6742-0000-0000-0000fb700200,2025-07-25T00:00:00,2025-07-23T12:00:00,2025-07-14T00:00:00,2025-07-20T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
4dc669a2-33d9-0000-0000-0000fb700200,2025-07-31T00:00:00,2025-07-29T00:00:00,2025-07-16T00:00:00,2025-07-31T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
2deb10db-394a-0000-0000-0000fb700200,2025-08-01T00:00:00,2025-07-30T12:00:00,2025-07-21T00:00:00,2025-07-27T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
be9491c9-674c-0000-0000-0000fb700200,2025-08-08T00:00:00,2025-08-06T12:00:00,2025-07-28T00:00:00,2025-08-03T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
