plannerId,checkDate,processDate,periodStartDate,periodEndDate,payGroup,runType
441dcfa3-5286-0000-0000-0000fa700200,2025-06-20T00:00:00,2025-06-17T14:00:00,2025-06-09T00:00:00,2025-06-15T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
703913c3-e1a5-0000-0000-0000fa700200,2025-06-27T00:00:00,2025-06-25T14:00:00,2025-06-16T00:00:00,2025-06-22T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
6dc06784-6dad-0000-0000-0000fa700200,2025-06-30T00:00:00,2025-06-26T00:00:00,2025-06-16T00:00:00,2025-06-30T00:00:00,10c98f7b-b1c8-0000-0000-0000fa700200,R
1f3c6cde-8550-0000-0000-0000fa700200,2025-07-03T00:00:00,2025-07-01T14:00:00,2025-06-23T00:00:00,2025-06-29T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
97db043b-b132-0000-0000-0000fa700200,2025-07-11T00:00:00,2025-07-09T14:00:00,2025-06-30T00:00:00,2025-07-06T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
d5cb0192-772a-0000-0000-0000fa700200,2025-07-15T00:00:00,2025-07-11T00:00:00,2025-07-01T00:00:00,2025-07-15T00:00:00,10c98f7b-b1c8-0000-0000-0000fa700200,R
ef76ced4-9d29-0000-0000-0000fa700200,2025-07-18T00:00:00,2025-07-16T14:00:00,2025-07-07T00:00:00,2025-07-13T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
7c94131a-30e7-0000-0000-0000fa700200,2025-07-25T00:00:00,2025-07-23T14:00:00,2025-07-14T00:00:00,2025-07-20T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
fe2874ba-b0b2-0000-0000-0000fa700200,2025-07-31T00:00:00,2025-07-29T00:00:00,2025-07-16T00:00:00,2025-07-31T00:00:00,10c98f7b-b1c8-0000-0000-0000fa700200,R
b56b4209-bf93-0000-0000-0000fa700200,2025-08-01T00:00:00,2025-07-30T14:00:00,2025-07-21T00:00:00,2025-07-27T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
9fbf2db7-7a78-0000-0000-0000fa700200,2025-08-08T00:00:00,2025-08-06T14:00:00,2025-07-28T00:00:00,2025-08-03T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
4c0fb06a-5ade-0000-0000-0000fa700200,2025-08-15T00:00:00,2025-08-13T14:00:00,2025-08-04T00:00:00,2025-08-10T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
5cad4989-bdc9-0000-0000-0000fa700200,2025-08-15T00:00:00,2025-08-13T00:00:00,2025-08-01T00:00:00,2025-08-15T00:00:00,10c98f7b-b1c8-0000-0000-0000fa700200,R
52d5355a-f7d6-0000-0000-0000fa700200,2025-08-22T00:00:00,2025-08-20T14:00:00,2025-08-11T00:00:00,2025-08-17T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
eb222bd5-d485-0000-0000-0000fa700200,2025-08-29T00:00:00,2025-08-27T00:00:00,2025-08-16T00:00:00,2025-08-31T00:00:00,10c98f7b-b1c8-0000-0000-0000fa700200,R
b709cf6e-4750-0000-0000-0000fa700200,2025-08-29T00:00:00,2025-08-27T14:00:00,2025-08-18T00:00:00,2025-08-24T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
9513656c-c447-0000-0000-0000fa700200,2025-09-05T00:00:00,2025-09-03T14:00:00,2025-08-25T00:00:00,2025-08-31T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
37b15cf9-b943-0000-0000-0000fa700200,2025-09-12T00:00:00,2025-09-10T14:00:00,2025-09-01T00:00:00,2025-09-07T00:00:00,3675a87f-9d17-0000-0000-0000fa700200,R
51fcc007-178e-0000-0000-0000fa700200,2025-09-15T00:00:00,2025-09-11T00:00:00,2025-09-01T00:00:00,2025-09-15T00:00:00,10c98f7b-b1c8-0000-0000-0000fa700200,R
